"coef","word"
4.02959343479649,"motherfuck"
3.65714563740942,"fuck"
2.99252597063168,"idiot"
2.97421214304196,"asshol"
2.96575354451807,"stupid"
2.79167344087931,"goddamn"
2.75646309427809,"wtf"
2.75138261035299,"dumbass"
2.58129165919181,"crap"
2.50214568979304,"suck"
2.45775359232392,"jackass"
2.4485794229726,"get_lost"
2.4414026850735,"stink"
2.40732605976935,"fuckin"
2.36988992445178,"douchebag"
2.32751202871658,"dick"
2.26616466379409,"jerk"
2.244471424845,"bastard"
2.1442145120944,"pathet"
2.14112626406509,"bitch"
2.10299301080244,"douch"
2.06420551186037,"retard"
2.02401132269625,"hell"
2.01559022961767,"freak"
1.99120851213288,"pedophil"
1.96774898040485,"son_bitch"
1.94302181164692,"piss"
1.91319826452218,"filthi"
1.87739754692835,"pervert"
1.87484669610791,"bloodi"
1.82275797811333,"shit"
1.80209042079976,"fucker"
1.78651971465347,"bullshit"
1.78609026177365,"liar"
1.76034856257959,"shove"
1.75954108472924,"screw"
1.71939745536095,"cunt"
1.70419338132946,"queer"
1.69950331579344,"twat"
1.69633739070283,"molest"
1.68523039762945,"fool"
1.68090669307503,"ass"
1.67830866717413,"dumb"
1.63765748888661,"nerd"
1.58201443449325,"ugli"
1.52814972869548,"hypocrit"
1.49648565998235,"scum"
1.49268556067392,"garbag"
1.47530325038776,"butt"
1.43098858799873,"disgust"
1.42724919835271,"cum"
1.41652098196453,"loser"
1.4026027235732,"lazi"
1.39989639068253,"heck"
1.3540797726874,"pant"
1.35128849179013,"gut"
1.33539421571768,"rob"
1.33516297777261,"shut"
1.33039756047294,"sick"
1.32814790659629,"pussi"
1.31948955845345,"arrog"
1.31647953881084,"coward"
1.31341781821149,"sexi"
1.30609516456031,"disgrac"
1.29367720568044,"your"
1.28763327248076,"mom"
1.2709019212709,"racist"
1.25777661166903,"shame"
1.25020799441911,"ars"
1.24815238235271,"asham"
1.24225137568433,"rat"
1.21830302216982,"whore"
1.21788336051223,"ridicul"
1.21435158439537,"fu"
1.2091989664092,"monkey"
1.20169028532826,"fascist"
1.19331464321135,"clown"
1.14181722770845,"trash"
1.13817569975872,"horribl"
1.12890259133418,"pile"
1.1226425687633,"paranoid"
1.11727163054653,"homo"
1.11463034793779,"get_life"
1.09791276801368,"blow"
1.09562117284925,"husband"
1.09329598960841,"porn"
1.08099197670892,"whine"
1.06941856322821,"worthless"
1.03931243667203,"rubbish"
1.03759704561077,"stay_away"
1.03615260912327,"immatur"
1.01009563122881,"violent"
1.00284071098692,"prostitut"
0.996749781976774,"compli"
0.994444124485321,"dare"
0.989830288244971,"damn"
0.986220482139477,"gay"
0.976222181569086,"sue"
0.974972948480861,"er"
0.971835619929828,"geek"
0.971143262942774,"nasti"
0.955136066026127,"dirti"
0.953455237439837,"say_thank"
0.949897104792433,"moron"
0.9287585682596,"prick"
0.928216637730163,"hole"
0.911424800342134,"silli"
0.908986722078486,"basement"
0.901164488648378,"malici"
0.897741588409138,"precious"
0.887952692438858,"piti"
0.884052855377763,"want_let"
0.881682117971049,"arbitrari"
0.875371840144141,"f"
0.8673136139233,"mouth"
0.865870940934896,"annoy"
0.849709482635096,"giant"
0.847297425485519,"dishonest"
0.844849077028177,"kiss"
0.843545683025003,"yo"
0.843349372946743,"cock"
0.842745189709551,"nazi"
0.841284993841334,"brain"
0.840786776083269,"curs"
0.839987103370665,"bunch"
0.831536818345231,"releas_date"
0.827147580611676,"nonsens"
0.82629223771925,"lame"
0.815489231675754,"aw"
0.814016230042928,"bigot"
0.811503612594808,"virgin"
0.803822185109221,"homosexu"
0.784935047380285,"nut"
0.779789549434355,"don_t"
0.778186228929445,"girlfriend"
0.763816966158661,"expens"
0.761540968684477,"common_sens"
0.753183888020815,"nose"
0.752613631125462,"bro"
0.748989980660378,"hatr"
0.744713557774512,"incompet"
0.744064992820672,"vagina"
0.73311243754923,"graduat"
0.732423131135609,"worship"
0.731449378638739,"stop_delet"
0.728258817385425,"whatev_want"
0.72815924036439,"ignor"
0.723835401673224,"face"
0.71990473423945,"absurd"
0.719618504957249,"mate"
0.715329710527195,"bulli"
0.710026267240237,"masturb"
0.709609605573457,"critic_section"
0.702803484163729,"fraud"
0.702794727272992,"dude"
0.693728282004643,"bet"
0.693710202750475,"wast"
0.691914992445788,"never_seen"
0.687878241299092,"smoke"
0.685373651623434,"nake"
