"rev_id","toxic"
4216,0
8953,0
35367,0
37675,0
139768,0
146770,0
153941,0
195355,0
198261,0
200354,1
218624,0
297866,0
309756,0
315967,0
325217,0
452612,0
482033,0
529575,1
581297,0
597212,1
607274,0
623718,0
655852,0
672149,0
705539,0
790462,0
818559,0
906335,0
988775,1
1004237,0
1079734,0
1111203,0
1229123,0
1238726,0
1245501,0
1286353,0
1308838,0
1311822,0
1314902,0
1325310,0
1334930,0
1347368,0
1382722,0
1519973,0
1588110,0
1595352,0
1613734,0
1614861,0
1696401,0
1703416,0
1735419,0
1746212,0
1806651,0
1851273,0
1896378,0
1934170,0
1985687,0
1988988,0
2036295,0
2047983,0
2092821,0
2097997,0
2187425,1
2254904,0
2321740,0
2408614,0
2416257,0
2457254,0
2457387,0
2531936,0
2532725,0
2568350,0
2595724,0
2653922,0
2660017,0
2681549,0
2747887,0
2791786,0
2796038,0
2803774,0
2876112,0
2947365,0
2954515,0
2955662,0
2976760,0
2977209,0
2982667,0
2988099,1
3094740,0
3109880,0
3123828,0
3139001,0
3186722,0
3192386,0
3194749,0
3350617,0
3512261,0
3531359,0
3542061,0
3561485,0
3633636,0
3685437,0
3736681,0
3788166,0
3897123,0
3911870,0
3948904,0
3955977,0
3980538,0
4003267,0
4006716,1
4031251,0
4054975,0
4066540,0
4116993,0
4130503,0
4170844,0
4248772,0
4248863,0
4282271,1
4285827,0
4317594,0
4334457,0
4373802,0
4375476,0
4425527,0
4457338,0
4458846,0
4569515,1
4608898,0
4639804,0
4642691,0
4661149,0
4712626,0
4713847,0
4801545,0
4820136,0
4868620,0
4869642,0
4920719,0
4965331,0
5158305,0
5174882,0
5200604,0
5247935,0
5263616,0
5290677,0
5293288,0
5304293,0
5374947,0
5387040,0
5447036,0
5455807,0
5498774,0
5553126,0
5615705,0
5623886,0
5625901,0
5647522,0
5687126,0
5763245,0
5815768,0
5825934,0
5861505,1
5896546,0
5901647,0
5928730,0
5997861,0
6121539,0
6228198,0
6235156,0
6288812,0
6306363,0
6338777,0
6507491,0
6522497,0
6633594,0
6659955,0
6763370,0
6785170,0
6810194,0
6817748,0
6826969,0
7005403,0
7009002,0
7042829,0
7107464,0
7147812,0
7196849,0
7209342,0
7278042,0
7319266,0
7422051,0
7424247,0
7461853,0
7503602,0
7516233,0
7533350,0
7559428,0
7572074,0
7594789,0
7689247,0
7708336,0
7727812,0
7786459,0
7786591,0
7792868,0
7794582,0
7824462,1
7842471,0
7869151,0
7917694,0
7944467,0
7983474,0
8010640,0
8078240,0
8098384,1
8111478,0
8146260,0
8164760,0
8200508,0
8233385,0
8239774,0
8287040,0
8300359,0
8347658,0
8355464,0
8384537,0
8424530,0
8426772,0
8436139,0
8531924,0
8571090,0
8635059,0
8652342,1
8708774,0
8712424,0
8725515,1
8737219,0
8746794,0
8760063,0
8763569,0
8771540,0
8809377,1
8836955,0
8875633,0
8898827,0
8899166,1
8914033,1
8960885,0
8978979,0
8992198,0
9005225,0
9013935,0
9057223,0
9073595,0
9103285,0
9148664,0
9180326,0
9186483,0
9220314,0
9225525,0
9245849,0
9252365,0
9260929,1
9317231,0
9369461,0
9388445,0
9396830,0
9401961,0
9410726,0
9442348,0
9492820,0
9495457,0
9508891,0
9521749,0
9534999,0
9546917,0
9664254,1
9702233,0
9723436,0
9752497,0
9766631,0
9802272,0
9810672,0
9827159,0
9862374,0
9885273,1
9950156,0
9972510,0
10005058,0
10025864,0
10052360,0
10069070,0
10074898,0
10078362,0
10102255,0
10119786,0
10178068,0
10266890,1
10301458,0
10307564,0
10337445,0
10344965,0
10374903,0
10424130,0
10450421,0
10511957,1
10516931,0
10528666,0
10531746,0
10536150,0
10563063,1
10574019,0
10574791,0
10607746,0
10611353,0
10612002,0
10665847,1
10681670,1
10682716,0
10707460,0
10731751,0
10772591,0
10777377,1
10787382,0
10900894,1
10934765,0
10952841,1
10953525,0
10965150,0
10990125,0
10998585,0
11010909,0
11014344,0
11054388,0
11059780,0
11132465,1
11165049,0
11173265,0
11261600,0
11279670,0
11347413,0
11361539,0
11371457,0
11375622,0
11498126,0
11502076,0
11508235,0
11523231,0
11528942,0
11579325,0
11598322,0
11601066,0
11602306,0
11641568,0
11665206,0
11687201,0
11692350,0
11707105,0
11712057,0
11723163,0
11726562,0
11733584,0
11753184,0
11760544,0
11787341,0
11792451,0
11794642,1
11802537,1
11830024,0
11835974,0
11851249,0
11854405,0
11908601,0
11910823,0
11964755,1
11969076,0
11972951,0
11995952,1
11996986,1
12012614,0
12028832,0
12064469,0
12225432,0
12305047,0
12320354,0
12324242,0
12327110,0
12339549,0
12374391,0
12391521,0
12491984,0
12501893,0
12516111,0
12519494,0
12555514,0
12557878,0
12616496,0
12625724,0
12639686,0
12653433,0
12673562,0
12678317,0
12729384,0
12767721,0
12799961,0
12806788,0
12807059,0
12807839,1
12815291,0
12831253,0
12841296,0
12862196,0
12898577,0
12932555,0
12978832,1
12978951,0
13019475,0
13030683,0
13057016,0
13165358,1
13189331,0
13195417,0
13245850,0
13272383,0
13451848,0
13453224,1
13453990,0
13454934,0
13455190,0
13455613,0
13456080,0
13457220,0
13462396,0
13485460,0
13511828,0
13545617,0
13555211,1
13579519,1
13586766,0
13602839,0
13644485,0
13725792,0
13726386,0
13729783,0
13751663,0
13811671,0
13817675,0
13824323,0
13829507,0
13856422,0
13864879,0
13883043,0
13897335,0
13919485,0
13942489,0
13961396,0
13961594,0
13969358,0
14006149,0
14023882,0
14049572,0
14052439,0
14058844,0
14072485,0
14094428,0
14113012,0
14117571,0
14180726,0
14182598,0
14210769,0
14232800,0
14273325,0
14304311,0
14316569,0
14342282,0
14346864,0
14398382,0
14413327,0
14440865,0
14447267,0
14449904,1
14492455,0
14565352,0
14566797,0
14582733,0
14634883,0
14638178,0
14641610,0
14693701,0
14769182,1
14789266,0
14801143,1
14817711,0
14888380,1
14897496,0
14911964,0
14966105,0
14972467,0
14984534,0
14988905,0
15011889,0
15019738,0
15061199,1
15073011,1
15077410,0
15096730,0
15097578,0
15124754,0
15129771,0
15131213,0
15156852,0
15171639,0
15176751,0
15223238,1
15267826,1
15278752,0
15298790,1
15308779,0
15370893,1
15377103,0
15453692,0
15496773,0
15553093,0
15557773,0
15557938,0
15559463,0
15559679,0
15559682,0
15562472,1
15578040,0
15587902,0
15591863,0
15619232,0
15619245,0
15620788,1
15634740,0
15647858,0
15660831,1
15673893,0
15678456,0
15683862,0
15689174,0
15703631,0
15710939,0
15781035,0
15813767,1
15818818,0
15832008,0
15832870,0
