"coef","word"
0.952237206429523,"stupid"
0.647523477584436,"crap"
0.623256555691749,"get_life"
0.597405091322062,"motherfuck"
0.49442297765874,"whore"
0.486097069121483,"mother_fucker"
0.466015735683215,"son_bitch"
0.465745800011334,"pathet"
0.445387649062925,"wtf"
0.443966917077845,"fuck_idiot"
0.438034934571781,"go_suck"
0.435545904965346,"hell"
0.400596190432164,"dumb"
0.386726163143079,"piss"
0.386700063410064,"fuck_cunt"
0.371183582849784,"wanker"
0.341105703017964,"shove"
0.332324187292134,"fuck_asshol"
0.330205811352774,"scumbag"
0.325363278404266,"nerd"
0.309215620401526,"sick"
0.308434342746438,"filthi"
0.285316650533207,"fuck"
0.282878037763137,"fuck_shit"
0.281601651895548,"fuck_u"
0.276439222619623,"douchebag"
0.270738782055507,"dude"
0.241191808822552,"fuck_moron"
0.23650078574207,"racist"
0.236164657003787,"jerk"
0.230051023800611,"goddamn"
0.229436894953004,"queer"
0.207274833044472,"sucker"
0.202991201231192,"ugli"
0.20154443968436,"arrog"
0.201081052110957,"ur"
0.187557383252157,"yo"
0.183984157058875,"liar"
0.182252589190773,"anus"
0.17728175544083,"your"
0.177231485787695,"dare"
0.175803577867568,"dick"
0.17351459365186,"dirti"
0.167640566938786,"bloodi"
0.165825833411334,"coward"
0.162992118679145,"stop"
0.151901884843215,"disgust"
0.151314262441991,"fool"
0.139767274641912,"kiss"
0.138378707733197,"screw"
0.135075420366823,"pervert"
0.13498752227558,"littl_bitch"
0.106652991143104,"fuck_retard"
0.0900955371028433,"pedophil"
0.082402056972578,"basement"
0.0665382565629611,"stink"
0.0663584614884288,"vagina"
0.0634619360786841,"hypocrit"
0.0582130328554931,"jackass"
0.0515270437404966,"butt"
0.0466163322449399,"homosexu"
0.0437302197508403,"gonna"
0.0398794809502275,"garbag"
0.0276287866686161,"yank"
0.0249601965557004,"shit_fuck"
0.0206994872059705,"shame"
0.0204380056624117,"ha"
0.0185855242781788,"leav_alon"
0.0162710846745656,"ridicul"
0.0144632955515038,"fuckin"
0.0115563288098374,"life"
0.0113343349096608,"douch"
0.0104581095157991,"shit"
0.00889768778713516,"get_real"
0.00809884367049892,"bulli"
0.0035800811905613,"bitch"
0.00330126406079737,"get"
0.00307657017377712,"suck"
0.00231248265006477,"littl"
0.000939835247767675,"man"
0.000838726125616435,"asshol"
0,"think"
0,"find"
0,"suppos"
0,"concern"
0,"other"
0,"voic"
0,"back"
0,"juli"
0,"actual"
0,"august"
0,"find_refer"
0,"vandalis"
0,"fact"
0,"new"
0,"pov"
0,"well"
0,"begin"
0,"among"
0,"martin"
0,"state"
0,"remov"
0,"moreov"
0,"sign"
0,"spain"
0,"said"
0,"charact"
0,"therefor"
0,"specul"
0,"put"
0,"remov_list"
0,"move"
0,"idea"
0,"long"
0,"guy"
0,"pretti"
0,"person"
0,"detail"
0,"unsourc"
0,"frank"
0,"written"
0,"hammer"
0,"paragraph"
0,"well_written"
0,"one_two"
0,"leav"
0,"verif"
0,"present"
0,"sever"
0,"outright"
0,"fals"
0,"statement"
0,"serious"
0,"misrepres"
0,"item"
0,"wit"
0,"teach"
0,"blood"
0,"must"
0,"whole"
0,"mislead"
0,"impli"
0,"henc"
0,"view"
0,"forward"
0,"second"
0,"presid"
0,"joseph"
0,"franklin"
0,"lack"
0,"plain"
0,"per"
0,"se"
0,"never"
0,"medic"
0,"certain"
0,"product"
0,"deriv"
0,"becam"
0,"permiss"
0,"verifi"
0,"toler"
0,"earli"
0,"novemb"
0,"ten"
0,"month"
0,"offenc"
0,"evid"
0,"secret"
0,"taken"
0,"patent"
0,"materi"
0,"demonstr"
0,"open"
0,"accept"
0,"group"
0,"caus"
0,"mani"
0,"hospit"
0,"offer"
0,"medicin"
0,"anoth"
0,"horribl"
0,"come"
0,"organ"
0,"similar"
0,"referenc"
0,"either"
0,"qualif"
0,"address"
0,"subject"
0,"ignor"
0,"despit"
0,"revert"
0,"introduct"
0,"feed"
0,"nice"
